season,team,conference,statName,statValue
2021,Michigan,Big Ten,kickReturnTDs,1
2021,NC State,ACC,kickReturnYards,644
2021,South Alabama,Sun Belt,rushingYards,1337
2021,Northwestern,Big Ten,fourthDownConversions,16
2021,Purdue,Big Ten,kickReturnYards,223
2021,San José State,Mountain West,totalYards,4082
2021,Penn State,Big Ten,passingTDs,25
2021,Northwestern,Big Ten,tacklesForLoss,48
2021,Florida International,Conference USA,puntReturnYards,98
2021,Clemson,ACC,turnovers,19
2021,Tulane,American Athletic,puntReturnYards,144
2021,Michigan,Big Ten,interceptionTDs,1
2021,Arizona State,Pac-12,firstDowns,260
2021,UTEP,Conference USA,kickReturns,37
2021,Florida State,ACC,puntReturns,17
2021,Purdue,Big Ten,interceptionYards,107
2021,Hawai'i,Mountain West,games,13
2021,Pittsburgh,ACC,thirdDowns,204
2021,South Florida,American Athletic,sacks,9
2021,Colorado State,Mountain West,possessionTime,20906
2021,Colorado,Pac-12,puntReturns,20
2021,West Virginia,Big 12,passingTDs,19
2021,Ole Miss,SEC,kickReturnTDs,0
2021,Northwestern,Big Ten,penaltyYards,503
2021,Baylor,Big 12,kickReturns,30
2021,Oklahoma,Big 12,interceptionTDs,0
2021,Pittsburgh,ACC,fourthDownConversions,17
2021,Navy,American Athletic,fourthDowns,36
2021,Tulsa,American Athletic,rushingTDs,20
2021,Virginia,ACC,passesIntercepted,8
2021,Nevada,Mountain West,interceptionTDs,3
2021,Rutgers,Big Ten,sacks,22
2021,South Carolina,SEC,puntReturnYards,80
2021,Louisiana,Sun Belt,interceptions,4
2021,Arkansas State,Sun Belt,kickReturnTDs,2
2021,Boston College,ACC,kickReturnTDs,1
2021,Ohio,Mid-American,rushingTDs,20
2021,Florida Atlantic,Conference USA,sacks,15
2021,Army,FBS Independents,passingTDs,11
2021,Iowa,Big Ten,penalties,57
2021,Arkansas,SEC,tacklesForLoss,79
2021,Central Michigan,Mid-American,kickReturnYards,647
2021,Army,FBS Independents,rushingAttempts,758
2021,Louisiana Monroe,Sun Belt,puntReturnTDs,0
2021,Minnesota,Big Ten,turnovers,13
2021,Connecticut,FBS Independents,penalties,80
2021,South Carolina,SEC,possessionTime,23417
2021,Akron,Mid-American,kickReturnYards,662
2021,South Florida,American Athletic,thirdDowns,169
2021,Louisville,ACC,passingTDs,21
2021,Clemson,ACC,thirdDownConversions,69
2021,Akron,Mid-American,rushingTDs,8
2021,Tulsa,American Athletic,totalYards,5750
2021,North Carolina,ACC,penaltyYards,900
2021,Texas Tech,Big 12,totalYards,5412
2021,UTEP,Conference USA,firstDowns,234
2021,UNLV,Mountain West,fumblesLost,8
2021,Army,FBS Independents,fourthDowns,41
2021,South Alabama,Sun Belt,kickReturnYards,311
2021,UNLV,Mountain West,firstDowns,186
2021,Kansas State,Big 12,kickReturnYards,735
2021,Central Michigan,Mid-American,thirdDowns,191
2021,Southern Mississippi,Conference USA,interceptionTDs,3
2021,Louisiana Tech,Conference USA,fumblesLost,7
2021,Nevada,Mountain West,passCompletions,395
2021,Ball State,Mid-American,interceptions,7
2021,Miami (OH),Mid-American,penalties,87
2021,Oklahoma State,Big 12,fumblesLost,7
2021,Oregon,Pac-12,puntReturns,17
2021,Texas,Big 12,tacklesForLoss,72
2021,Kansas State,Big 12,thirdDowns,146
2021,Buffalo,Mid-American,puntReturns,13
2021,New Mexico State,FBS Independents,puntReturnTDs,0
2021,USC,Pac-12,fourthDownConversions,10
2021,Oregon State,Pac-12,kickReturnTDs,0
2021,Fresno State,Mountain West,thirdDownConversions,78
2021,Ohio,Mid-American,passCompletions,200
2021,Coastal Carolina,Sun Belt,rushingYards,2974
2021,Washington State,Pac-12,totalYards,4932
2021,Rice,Conference USA,fourthDowns,29
2021,West Virginia,Big 12,netPassingYards,3223
2021,Toledo,Mid-American,rushingAttempts,472
2021,Northwestern,Big Ten,possessionTime,20282
2021,UCLA,Pac-12,passAttempts,335
2021,Kentucky,SEC,fumblesRecovered,3
2021,Missouri,SEC,puntReturns,14
2021,Syracuse,ACC,fourthDowns,17
2021,Minnesota,Big Ten,thirdDowns,170
2021,Cincinnati,American Athletic,rushingTDs,34
2021,Stanford,Pac-12,rushingTDs,13
2021,Army,FBS Independents,puntReturns,14
2021,Oregon,Pac-12,rushingYards,2833
2021,Kansas State,Big 12,interceptionTDs,0
2021,Auburn,SEC,passesIntercepted,9
2021,Missouri,SEC,interceptions,11
2021,Arizona State,Pac-12,fumblesRecovered,5
2021,Arkansas,SEC,thirdDownConversions,64
2021,Rice,Conference USA,totalYards,4329
2021,Florida,SEC,thirdDownConversions,72
2021,Liberty,FBS Independents,sacks,37
2021,Kentucky,SEC,thirdDownConversions,76
2021,West Virginia,Big 12,firstDowns,278
2021,Oklahoma State,Big 12,puntReturnTDs,1
2021,Kentucky,SEC,kickReturnTDs,0
2021,Nebraska,Big Ten,interceptions,11
2021,Wisconsin,Big Ten,firstDowns,261
2021,Middle Tennessee,Conference USA,netPassingYards,3100
2021,Eastern Michigan,Mid-American,tacklesForLoss,52
2021,Louisiana,Sun Belt,fumblesLost,4
2021,BYU,FBS Independents,puntReturnYards,238
2021,Rutgers,Big Ten,games,13
2021,Troy,Sun Belt,tacklesForLoss,90
2021,Louisiana,Sun Belt,penaltyYards,686
2021,Fresno State,Mountain West,penalties,99
2021,Alabama,SEC,passingTDs,48
2021,Nevada,Mountain West,fumblesRecovered,21
2021,Alabama,SEC,games,15
2021,Marshall,Conference USA,fumblesRecovered,10
2021,Navy,American Athletic,penaltyYards,422
2021,Florida International,Conference USA,fumblesRecovered,8
2021,Utah,Pac-12,rushingAttempts,545
2021,Louisiana Monroe,Sun Belt,rushingAttempts,500
2021,UMass,FBS Independents,rushingAttempts,416
2021,Southern Mississippi,Conference USA,kickReturnTDs,1
2021,Western Michigan,Mid-American,interceptionTDs,0
2021,UMass,FBS Independents,passAttempts,331
2021,Coastal Carolina,Sun Belt,fourthDownConversions,10
2021,UNLV,Mountain West,turnovers,22
2021,TCU,Big 12,puntReturns,10
2021,Penn State,Big Ten,passCompletions,291
2021,Virginia Tech,ACC,possessionTime,23367
2021,Notre Dame,FBS Independents,totalYards,5540
2021,Florida,SEC,passAttempts,416
2021,Nevada,Mountain West,interceptions,9
2021,Texas,Big 12,fourthDownConversions,9
2021,NC State,ACC,thirdDownConversions,68
2021,Western Kentucky,Conference USA,thirdDowns,174
2021,Connecticut,FBS Independents,penaltyYards,585
2021,Oklahoma,Big 12,netPassingYards,3425
2021,UNLV,Mountain West,interceptions,14
2021,Southern Mississippi,Conference USA,puntReturnYards,225
2021,Western Michigan,Mid-American,rushingTDs,31
2021,Syracuse,ACC,penalties,84
2021,Miami (OH),Mid-American,puntReturns,13
2021,Louisiana Tech,Conference USA,kickReturns,37
2021,Missouri,SEC,firstDowns,282
2021,Akron,Mid-American,firstDowns,225
2021,Missouri,SEC,fourthDownConversions,11
2021,Appalachian State,Sun Belt,interceptionYards,347
2021,South Alabama,Sun Belt,puntReturnYards,55
2021,Georgia Tech,ACC,rushingYards,2028
2021,Virginia,ACC,fumblesLost,6
2021,Nevada,Mountain West,passAttempts,572
2021,South Alabama,Sun Belt,totalYards,4409
2021,Iowa State,Big 12,passAttempts,446
2021,Ohio,Mid-American,firstDowns,242
2021,Iowa State,Big 12,interceptionYards,78
2021,Utah,Pac-12,possessionTime,25898
2021,UMass,FBS Independents,thirdDowns,159
2021,Alabama,SEC,turnovers,13
2021,Navy,American Athletic,puntReturnTDs,1
2021,South Carolina,SEC,kickReturns,21
2021,Iowa,Big Ten,netPassingYards,2521
2021,Tulsa,American Athletic,fumblesLost,8
2021,Ball State,Mid-American,totalYards,4384
2021,Oklahoma State,Big 12,thirdDownConversions,94
2021,Miami (OH),Mid-American,fumblesRecovered,8
2021,Pittsburgh,ACC,netPassingYards,4723
2021,East Carolina,American Athletic,fumblesRecovered,8
2021,Ohio State,Big Ten,netPassingYards,4952
2021,Florida,SEC,interceptionYards,43
2021,Georgia State,Sun Belt,rushingAttempts,586
2021,Eastern Michigan,Mid-American,fourthDownConversions,14
2021,Georgia Tech,ACC,tacklesForLoss,61
2021,Akron,Mid-American,passCompletions,226
2021,Vanderbilt,SEC,netPassingYards,2272
2021,UTEP,Conference USA,thirdDowns,180
2021,Tulsa,American Athletic,interceptionTDs,1
2021,UTEP,Conference USA,rushingAttempts,481
2021,Troy,Sun Belt,fumblesRecovered,12
2021,Middle Tennessee,Conference USA,fumblesLost,8
2021,East Carolina,American Athletic,kickReturns,23
2021,Utah State,Mountain West,rushingYards,2013
2021,Baylor,Big 12,passAttempts,365
2021,Ball State,Mid-American,interceptionTDs,0
2021,Western Kentucky,Conference USA,interceptionTDs,2
2021,Kent State,Mid-American,rushingTDs,36
2021,Western Kentucky,Conference USA,kickReturnYards,1046
2021,Texas Tech,Big 12,passesIntercepted,10
2021,Virginia,ACC,thirdDownConversions,73
2021,Florida State,ACC,fumblesLost,9
2021,Ohio State,Big Ten,tacklesForLoss,83
2021,Washington State,Pac-12,thirdDowns,170
2021,Florida State,ACC,fourthDownConversions,7
2021,Marshall,Conference USA,fourthDownConversions,10
2021,Mississippi State,SEC,puntReturns,22
2021,Memphis,American Athletic,rushingYards,1645
2021,Toledo,Mid-American,kickReturnTDs,1
2021,Ohio,Mid-American,puntReturnYards,54
2021,Louisiana Monroe,Sun Belt,thirdDownConversions,65
2021,Illinois,Big Ten,kickReturnYards,49
2021,Ohio,Mid-American,games,12
2021,Navy,American Athletic,rushingAttempts,697
2021,Temple,American Athletic,possessionTime,19811
2021,Ohio State,Big Ten,passAttempts,494
2021,Toledo,Mid-American,firstDowns,270
2021,Alabama,SEC,firstDowns,367
2021,San Diego State,Mountain West,passAttempts,361
2021,Washington,Pac-12,interceptionYards,171
2021,Army,FBS Independents,fumblesRecovered,7
2021,Syracuse,ACC,fumblesRecovered,3
2021,California,Pac-12,possessionTime,21905
2021,Louisville,ACC,rushingAttempts,504
2021,Liberty,FBS Independents,fumblesRecovered,1
2021,UMass,FBS Independents,fourthDowns,25
2021,Ohio,Mid-American,rushingAttempts,434
2021,New Mexico State,FBS Independents,passingTDs,15
2021,SMU,American Athletic,thirdDownConversions,73
2021,Purdue,Big Ten,thirdDowns,188
2021,Virginia Tech,ACC,tacklesForLoss,68
2021,Iowa,Big Ten,interceptionYards,225
2021,Arizona,Pac-12,passCompletions,268
2021,Syracuse,ACC,rushingAttempts,491
2021,SMU,American Athletic,rushingYards,1937
2021,Middle Tennessee,Conference USA,kickReturnYards,333
2021,UNLV,Mountain West,passCompletions,193
2021,Air Force,Mountain West,puntReturnYards,36
2021,Liberty,FBS Independents,netPassingYards,3315
2021,SMU,American Athletic,puntReturnYards,75
2021,Kentucky,SEC,firstDowns,296
2021,Troy,Sun Belt,interceptionYards,198
2021,UNLV,Mountain West,rushingAttempts,395
2021,Nevada,Mountain West,netPassingYards,4511
2021,SMU,American Athletic,rushingAttempts,422
2021,Ohio State,Big Ten,passesIntercepted,12
2021,UMass,FBS Independents,interceptionTDs,0
2021,Rutgers,Big Ten,passAttempts,394
2021,Arizona,Pac-12,kickReturnYards,483
2021,Missouri,SEC,possessionTime,23636
2021,Clemson,ACC,netPassingYards,2485
2021,BYU,FBS Independents,fumblesLost,7
2021,Boston College,ACC,fourthDownConversions,12
2021,Syracuse,ACC,totalYards,4398
2021,Purdue,Big Ten,rushingTDs,7
2021,Louisiana,Sun Belt,games,14
2021,New Mexico,Mountain West,fourthDownConversions,7
2021,West Virginia,Big 12,fourthDownConversions,19
2021,Missouri,SEC,interceptionYards,91
2021,Indiana,Big Ten,fourthDowns,22
2021,Arkansas State,Sun Belt,passAttempts,525
2021,Utah State,Mountain West,fumblesLost,8
2021,Illinois,Big Ten,passCompletions,165
2021,Pittsburgh,ACC,kickReturnTDs,1
2021,UCLA,Pac-12,rushingTDs,31
2021,Houston,American Athletic,thirdDownConversions,83
2021,TCU,Big 12,passingTDs,19
2021,Louisiana Monroe,Sun Belt,rushingTDs,13
2021,Marshall,Conference USA,penalties,87
2021,Utah,Pac-12,interceptionTDs,3
2021,SMU,American Athletic,turnovers,18
2021,Houston,American Athletic,interceptionYards,210
2021,Florida Atlantic,Conference USA,fumblesRecovered,7
2021,Memphis,American Athletic,kickReturnTDs,0
2021,New Mexico,Mountain West,firstDowns,165
2021,Coastal Carolina,Sun Belt,thirdDownConversions,77
2021,Boston College,ACC,turnovers,18
2021,Clemson,ACC,penalties,79
2021,New Mexico,Mountain West,turnovers,20
2021,Rutgers,Big Ten,fourthDowns,39
2021,Northwestern,Big Ten,passesIntercepted,6
2021,Troy,Sun Belt,totalYards,4061
2021,Oklahoma State,Big 12,rushingAttempts,620
2021,Hawai'i,Mountain West,turnovers,29
2021,California,Pac-12,fumblesRecovered,7
2021,Arkansas,SEC,passingTDs,22
2021,Oklahoma State,Big 12,fourthDownConversions,7
2021,Louisiana Monroe,Sun Belt,kickReturnYards,303
2021,Liberty,FBS Independents,firstDowns,294
2021,East Carolina,American Athletic,interceptionTDs,2
2021,Arizona State,Pac-12,turnovers,22
2021,Auburn,SEC,puntReturns,23
2021,Florida,SEC,interceptions,18
2021,Colorado State,Mountain West,fumblesRecovered,9
2021,Rice,Conference USA,passCompletions,205
2021,Florida State,ACC,passesIntercepted,14
2021,Penn State,Big Ten,kickReturnTDs,0
2021,New Mexico,Mountain West,rushingYards,1434
2021,Southern Mississippi,Conference USA,possessionTime,22229
2021,Middle Tennessee,Conference USA,fourthDowns,31
2021,Penn State,Big Ten,passesIntercepted,14
2021,UAB,Conference USA,games,13
2021,Oklahoma,Big 12,penaltyYards,733
2021,Washington State,Pac-12,kickReturnYards,439
2021,North Texas,Conference USA,rushingTDs,32
2021,Louisiana,Sun Belt,kickReturnTDs,0
2021,Bowling Green,Mid-American,passesIntercepted,12
2021,Georgia State,Sun Belt,puntReturns,3
2021,Hawai'i,Mountain West,interceptionYards,297
2021,Iowa State,Big 12,passingTDs,22
2021,Georgia State,Sun Belt,thirdDowns,172
2021,Tennessee,SEC,turnovers,13
2021,Georgia,SEC,fumblesLost,5
2021,Fresno State,Mountain West,netPassingYards,4247
2021,New Mexico State,FBS Independents,games,12
2021,SMU,American Athletic,interceptionYards,120
2021,Arizona State,Pac-12,passAttempts,313
2021,Georgia,SEC,turnovers,17
2021,Wake Forest,ACC,penaltyYards,737
2021,UAB,Conference USA,firstDowns,232
2021,Appalachian State,Sun Belt,passCompletions,255
2021,South Carolina,SEC,interceptionYards,296
2021,Iowa,Big Ten,passingTDs,12
2021,Charlotte,Conference USA,fourthDowns,35
2021,Alabama,SEC,netPassingYards,5073
2021,UCF,American Athletic,passCompletions,252
2021,Iowa,Big Ten,fumblesRecovered,8
2021,Georgia State,Sun Belt,turnovers,15
2021,Vanderbilt,SEC,fumblesRecovered,3
2021,Houston,American Athletic,possessionTime,28214
2021,Louisville,ACC,puntReturnYards,157
2021,Florida International,Conference USA,penalties,71
